acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Silene ciliata	Tracheophyta	251	10.24630338	1.407568751	Silene ciliata	SPECIES		
Erysiphe urticae	Ascomycota	251	8.43660377	1.825380587	Erysiphe urticae	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/erysipheurticae
Mollisia clavata	Ascomycota	251	8.761612328	1.02788795	Mollisia clavata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/mollisiaclavata
Prunus serrulata	Tracheophyta	251	8.936159899	1.33366989	Prunus serrulata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/prunusserrulata
Salix acutifolia	Tracheophyta	251	7.088987906	1.486763993	Salix acutifolia	SPECIES		
Vulpia alopecuros	Tracheophyta	251	15.55937696	1.835106107	Vulpia alopecuros	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/vulpiaalopecuros
Taraxacum leptodon	Tracheophyta	251	6.574603032	1.548987364	Taraxacum leptodon	SPECIES		
Arthrorhaphis alpina	Ascomycota	251	-0.662227584	5.392554944	Arthrorhaphis alpina	SPECIES		
Palmogloea protuberans	Chlorophyta	251	9.117613541	0.31428606	Palmogloea protuberans	SPECIES		
Megalospora tuberculosa	Ascomycota	251	8.71233004	1.319656129	Megalospora tuberculosa	SPECIES		
Fossombronia caespitiformis	Marchantiophyta	251	13.89985125	3.191395681	Fossombronia caespitiformis	SPECIES		
Salsola kali subsp. ruthenica	Tracheophyta	251	10.37297568	2.95191533	Salsola kali	SUBSPECIES	ruthenica	http://ndff-ecogrid.nl/taxonomy/taxa/salsolatragus
Cercospora ari	Ascomycota	252	9.454395849	0.613642509	Cercospora ari	SPECIES		
Polygala amara	Tracheophyta	252	7.326125531	2.18674213	Polygala amara	SPECIES		
Beta macrocarpa	Tracheophyta	252	16.9130952	1.607332002	Beta macrocarpa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/betamacrocarpa
Octospora humosa	Ascomycota	252	5.898736285	3.659100762	Octospora humosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/octosporahumosa
Rinodina gennarii	Ascomycota	252	8.629837722	4.306567767	Rinodina gennarii	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rinodinagennarii
Equisetum litorale	Tracheophyta	252	8.559248389	1.785129327	Equisetum litorale	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/equisetumxlitorale
Persicaria x fennica	Tracheophyta	252	5.388943789	2.984837003	Persicaria x fennica	SPECIES		
Taraxacum deltoideum	Tracheophyta	252	6.352784776	0.524383204	Taraxacum deltoideum	SPECIES		
Schistidium elegantulum	Bryophyta	252	8.527380913	1.56376287	Schistidium elegantulum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/schistidiumelegantulum
Taraxacum undulatiflorum	Tracheophyta	252	7.159524296	1.371499838	Taraxacum undulatiflorum	SPECIES		
Stipa capillata	Tracheophyta	253	9.683919927	3.081747718	Stipa capillata	SPECIES		
Seseli tortuosum	Tracheophyta	253	13.93207039	1.581505375	Seseli tortuosum	SPECIES		
Althaea cannabina	Tracheophyta	253	12.93566609	2.185580069	Althaea cannabina	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/althaeacannabina
Sideritis pungens	Tracheophyta	253	11.36828199	1.268288167	Sideritis pungens	SPECIES		
Lanzia echinophila	Ascomycota	253	9.879845082	1.832819163	Lanzia echinophila	SPECIES		
Taraxacum subleucopodum	Tracheophyta	253	7.61664144	0.305705964	Taraxacum subleucopodum	SPECIES		
Brassica repanda subsp. blancoana	Tracheophyta	253	13.81958488	2.011670122	Brassica repanda	SUBSPECIES	blancoana	
Glycine max	Tracheophyta	254	8.699971782	1.836438196	Glycine max	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/glycinemax
Maresia nana	Tracheophyta	254	16.27364964	2.005850357	Maresia nana	SPECIES		
Cedrus deodara	Tracheophyta	254	10.47323791	2.552156941	Cedrus deodara	SPECIES		
Fagonia mollis	Tracheophyta	254	20.00728202	0.883113733	Fagonia mollis	SPECIES		
Oxalis debilis	Tracheophyta	254	10.95998993	2.668501245	Oxalis debilis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/oxalisdebilis
Psora testacea	Ascomycota	254	13.67498165	2.755403913	Psora testacea	SPECIES		
Lavandula viridis	Tracheophyta	254	16.57413499	0.359815936	Lavandula viridis	SPECIES		
Satureja intricata	Tracheophyta	254	13.74340507	1.795073927	Satureja intricata	SPECIES		
Epipactis microphylla	Tracheophyta	254	11.20334383	2.256299941	Epipactis microphylla	SPECIES		
Symphytum grandiflorum	Tracheophyta	254	8.773462984	1.284632907	Symphytum grandiflorum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/symphytumibericum
Arthopyrenia cinereopruinosa	Ascomycota	254	8.265577521	2.161387722	Arthopyrenia cinereopruinosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/arthopyreniacinereopruinosa
Saxifraga exarata subsp. moschata	Tracheophyta	254	5.507587929	2.592728893	Saxifraga exarata subsp. moschata	SUBSPECIES		
Setaria verticillata var. ambigua	Tracheophyta	254	10.11850393	1.937782208	Setaria verticillata	VARIETY	ambigua	
Thuidium molluscum var. condensatum	Bryophyta	254	8.222099495	1.197985529	Thuidium molluscum	VARIETY	condensatum	
Bromus lepidus	Tracheophyta	255	8.607804872	1.364870697	Bromus lepidus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/bromuslepidus
Prunus americana	Tracheophyta	255	8.552574637	0.889397014	Prunus americana	SPECIES		
Sideritis pusilla	Tracheophyta	255	15.97866031	0.729102748	Sideritis pusilla	SPECIES		
Campanula strigosa	Tracheophyta	255	19.8578825	1.509075357	Campanula strigosa	SPECIES		
Lecanora cadubriae	Ascomycota	255	3.816425104	3.019227661	Lecanora cadubriae	SPECIES		
Halosphaera viridis	Chlorophyta	255	-4.145157846	4.439324714	Halosphaera viridis	SPECIES		
Hieracium diaphanum	Tracheophyta	255	7.843722295	2.140277397	Hieracium diaphanum	SPECIES		
Narcissus serotinus	Tracheophyta	255	16.69309808	1.016595977	Narcissus serotinus	SPECIES		
Saccobolus versicolor	Ascomycota	255	8.006457595	1.497970694	Saccobolus versicolor	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/saccobolusversicolor
Titanoderma pustulatum	Rhodophyta	255	8.402921933	2.424675743	Titanoderma pustulatum	SPECIES		
Crossocalyx hellerianus	Marchantiophyta	255	1.841568014	2.801355388	Crossocalyx hellerianus	SPECIES		
Platyhypnidium riparioides	Bryophyta	255	5.962924753	3.204101879	Platyhypnidium riparioides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rhynchostegiumriparioides
Acer tataricum	Tracheophyta	256	7.844766977	2.374129103	Acer tataricum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/acertataricum
Trifolium cernuum	Tracheophyta	256	14.77999996	1.84183533	Trifolium cernuum	SPECIES		
Alchemilla baltica	Tracheophyta	256	3.016824854	2.371431984	Alchemilla baltica	SPECIES		
Eryngium dilatatum	Tracheophyta	256	15.49784246	1.362944027	Eryngium dilatatum	SPECIES		
Riccia huebeneriana	Marchantiophyta	256	7.879233567	2.120633984	Riccia huebeneriana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/ricciahuebeneriana
Davallia canariensis	Tracheophyta	256	15.41438433	1.843187296	Davallia canariensis	SPECIES		
Fuscopannaria confusa	Ascomycota	256	0.785517413	1.537187124	Fuscopannaria confusa	SPECIES		
Hyaloscypha leuconica	Ascomycota	256	8.180578799	1.553183665	Hyaloscypha leuconica	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hyaloscyphaleuconica
Lathyrus grandiflorus	Tracheophyta	256	9.31369252	2.136944528	Lathyrus grandiflorus	SPECIES		
Odontoschisma macounii	Marchantiophyta	256	-2.404104618	4.397098453	Odontoschisma macounii	SPECIES		
Valerianella vesicaria	Tracheophyta	256	18.9083453	1.717726228	Valerianella vesicaria	SPECIES		
Eutypa lata	Ascomycota	257	7.659407923	2.361773873	Eutypa lata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/eutypalata
Scilla amoena	Tracheophyta	257	7.868166655	0.759708719	Scilla amoena	SPECIES		
Medicago murex	Tracheophyta	257	16.08504374	1.830573575	Medicago murex	SPECIES		
Noaea mucronata	Tracheophyta	257	18.08708026	2.416918324	Noaea mucronata	SPECIES		
Stipa bromoides	Tracheophyta	257	14.35797464	2.888354273	Stipa bromoides	SPECIES		
Crocus caeruleus	Tracheophyta	257	5.709825956	2.235536102	Crocus caeruleus	SPECIES		
Encalypta mutica	Bryophyta	257	-0.377963935	5.274966628	Encalypta mutica	SPECIES		
Inula helenioides	Tracheophyta	257	11.79858225	1.400041877	Inula helenioides	SPECIES		
Galium divaricatum	Tracheophyta	257	13.71283781	2.714878506	Galium divaricatum	SPECIES		
Halopithys incurva	Rhodophyta	257	14.92328981	3.221424661	Halopithys incurva	SPECIES		
Squamarina gypsacea	Ascomycota	257	13.44364319	4.313037001	Squamarina gypsacea	SPECIES		
Hieracium atronitens	Tracheophyta	257	5.833762317	0.781032661	Hieracium atronitens	SPECIES		
Leontodon taraxacoides	Tracheophyta	257	13.97740615	1.762239088	Leontodon taraxacoides	SPECIES		
Milospium graphideorum	Ascomycota	257	10.12143697	2.407731152	Milospium graphideorum	SPECIES		
Umbilicaria crustulosa	Ascomycota	257	3.644996954	6.618325173	Umbilicaria crustulosa	SPECIES		
Trichopezizella nidulus	Ascomycota	257	8.058773002	1.400397451	Trichopezizella nidulus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/trichopezizellanidulus
Bolboschoenus maritimus subsp. maritimus	Tracheophyta	257	10.69833333	2.541927451	Bolboschoenus maritimus	SUBSPECIES	maritimus	http://ndff-ecogrid.nl/taxonomy/taxa/bolboschoenusmaritimusmaritimus
Rubus criniger	Tracheophyta	258	9.365882715	0.499820939	Rubus criniger	SPECIES		
Daphne oleoides	Tracheophyta	258	12.76802738	1.685286527	Daphne oleoides	SPECIES		
Ulothrix flacca	Chlorophyta	258	6.951585431	2.897154617	Ulothrix flacca	SPECIES		
Vicia pyrenaica	Tracheophyta	258	10.49035964	1.901997311	Vicia pyrenaica	SPECIES		
Erucaria rostrata	Tracheophyta	258	19.94267865	0.808413164	Erucaria rostrata	SPECIES		
Mesostigma viride	Charophyta	258	9.117406034	0.443888732	Mesostigma viride	SPECIES		
Sisymbrium supinum	Tracheophyta	258	7.705974202	2.07004184	Sisymbrium supinum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sisymbriumsupinum
Hymenelia prevostii	Ascomycota	258	8.363374608	1.983765103	Hymenelia prevostii	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hymeneliaprevostii
Pertusaria dactylina	Ascomycota	258	0.580215728	3.639244441	Pertusaria dactylina	SPECIES		
Eragrostis barrelieri	Tracheophyta	258	14.29701657	2.404883048	Eragrostis barrelieri	SPECIES		
Sarcosagium campestre	Ascomycota	258	7.383245036	2.468623477	Sarcosagium campestre	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sarcosagiumcampestre
Tragopogon crocifolius	Tracheophyta	258	12.47735434	2.347293495	Tragopogon crocifolius	SPECIES		
Phialina pseudopuberula	Ascomycota	258	9.394017302	0.57733742	Phialina pseudopuberula	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/phialinapseudopuberula
Arthopyrenia carneobrunneola	Ascomycota	258	7.687802612	0.959047707	Arthopyrenia carneobrunneola	SPECIES		
Jacobaea minuta	Tracheophyta	259	14.12515429	2.228360394	Jacobaea minuta	SPECIES		
Salix x fragilis	Tracheophyta	259	7.345243633	2.214413356	Salix x fragilis	SPECIES		
Camaropella lutea	Ascomycota	259	8.353501017	0.992043964	Camaropella lutea	SPECIES		
Cirsium echinatum	Tracheophyta	259	14.55674399	2.048225852	Cirsium echinatum	SPECIES		
Hierochloe alpina	Tracheophyta	259	-4.305296308	3.299939092	Hierochloe alpina	SPECIES		
Vachellia tortilis	Tracheophyta	259	19.98455718	0.845619169	Vachellia tortilis	SPECIES		
Sclerophora amabilis	Ascomycota	259	5.798003375	1.560355337	Sclerophora amabilis	SPECIES		
Pedicularis pyrenaica	Tracheophyta	259	9.300060187	1.311768746	Pedicularis pyrenaica	SPECIES		
Ochthodium aegyptiacum	Tracheophyta	259	19.3814991	2.404828619	Ochthodium aegyptiacum	SPECIES		
Sisymbrium strictissimum	Tracheophyta	259	6.322412715	2.2050326	Sisymbrium strictissimum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sisymbriumstrictissimum
Ononis mitissima	Tracheophyta	260	15.87809004	2.123014663	Ononis mitissima	SPECIES		
Lolium temulentum	Tracheophyta	260	12.24710758	4.011004191	Lolium temulentum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/loliumtemulentum
Periballia laevis	Tracheophyta	260	13.75221949	2.497737181	Periballia laevis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/periballialaevis
Usnea substerilis	Ascomycota	260	4.988172661	3.644773007	Usnea substerilis	SPECIES		
Chaetonychia cymosa	Tracheophyta	260	15.21118385	2.097668427	Chaetonychia cymosa	SPECIES		
Veratrum lobelianum	Tracheophyta	260	4.7019363	2.996606377	Veratrum lobelianum	SPECIES		
Lecanora barkmaniana	Ascomycota	260	9.557361951	0.43320436	Lecanora barkmaniana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lecanorabarkmaniana
Nemania atropurpurea	Ascomycota	260	6.687626607	2.273581396	Nemania atropurpurea	SPECIES		
Androsace chamaejasme	Tracheophyta	260	5.087004616	2.55588666	Androsace chamaejasme	SPECIES		
Lichenoconium lecanorae	Ascomycota	260	7.293585207	2.306266018	Lichenoconium lecanorae	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lichenoconiumlecanorae
Taraxacum distinctilobum	Tracheophyta	260	7.577779288	0.608264949	Taraxacum distinctilobum	SPECIES		
Euphorbia amygdaloides subsp. robbiae	Tracheophyta	260	8.927639932	0.918180804	Euphorbia amygdaloides	SUBSPECIES	robbiae	
Peziza fimeti	Ascomycota	261	5.7302223	3.053956696	Peziza fimeti	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/pezizafimeti
Caloplaca lactea	Ascomycota	261	11.09889355	4.239893329	Caloplaca lactea	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/caloplacalactea
Lotus halophilus	Tracheophyta	261	19.24943047	1.798819809	Lotus halophilus	SPECIES		
Antennaria lanata	Tracheophyta	261	-1.689718748	1.22483584	Antennaria lanata	SPECIES		
Erigeron strigosus	Tracheophyta	261	9.158600523	1.265825807	Erigeron strigosus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/erigeronannuus
Rinodina isidioides	Ascomycota	261	9.212064592	1.757273098	Rinodina isidioides	SPECIES		
Gyalidea subscutellaris	Ascomycota	261	8.344518307	0.396111568	Gyalidea subscutellaris	SPECIES		
Pteris vittata	Tracheophyta	262	14.8990268	2.42197088	Pteris vittata	SPECIES		
Bacidia trachona	Ascomycota	262	7.134299472	2.169944192	Bacidia trachona	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/bacidiatrachona
Mentha diemenica	Tracheophyta	262	6.330219337	1.044474952	Mentha diemenica	SPECIES		
Bryopsis hypnoides	Chlorophyta	262	9.27180799	2.112667308	Bryopsis hypnoides	SPECIES		
Searsia tripartita	Tracheophyta	262	19.66799878	0.828080634	Searsia tripartita	SPECIES		
Bacidina chloroticula	Ascomycota	262	7.154180991	2.887454174	Bacidina chloroticula	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/bacidiachloroticula
Gleditsia triacanthos	Tracheophyta	262	12.86880526	3.210131415	Gleditsia triacanthos	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/gleditsiatriacanthos
Micarea viridileprosa	Ascomycota	262	8.348932488	1.241456673	Micarea viridileprosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/micareaviridileprosa
Pinguicula grandiflora	Tracheophyta	262	9.836196247	1.805271147	Pinguicula grandiflora	SPECIES		
Taphrina padi	Ascomycota	263	6.618879277	1.795086472	Taphrina padi	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/taphrinapadi
Reseda stricta	Tracheophyta	263	13.05941404	2.013561179	Reseda stricta	SPECIES		
Epipogium aphyllum	Tracheophyta	263	3.349246454	3.365534762	Epipogium aphyllum	SPECIES		
Agrostis schleicheri	Tracheophyta	263	8.674598698	3.480794641	Agrostis schleicheri	SPECIES		
Xylographa rubescens	Ascomycota	263	5.185711377	1.719060179	Xylographa rubescens	SPECIES		
Poa minor	Tracheophyta	264	5.180228951	3.065752357	Poa minor	SPECIES		
Dimelaena oreina	Ascomycota	264	1.333323454	7.826205331	Dimelaena oreina	SPECIES		
Minuartia hamata	Tracheophyta	264	11.49901812	2.459715017	Minuartia hamata	SPECIES		
Persicaria dubia	Tracheophyta	264	8.415179925	1.210006869	Persicaria dubia	SPECIES		
Phalaris aquatica	Tracheophyta	264	14.50500077	3.023262354	Phalaris aquatica	SPECIES		
Sagedia simoensis	Ascomycota	264	3.850937584	3.371195918	Sagedia simoensis	SPECIES		
Anemone hupehensis	Tracheophyta	264	7.571635068	1.212178775	Anemone hupehensis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/anemonehupehensis
Sorbus croceocarpa	Tracheophyta	264	8.476615486	0.752678374	Sorbus croceocarpa	SPECIES		
Vagaria parviflora	Tracheophyta	264	18.96901187	3.233407999	Vagaria parviflora	SPECIES		
Lathyrus laevigatus	Tracheophyta	264	7.79965054	2.643214757	Lathyrus laevigatus	SPECIES		
Hypericum perfoliatum	Tracheophyta	264	14.68531313	2.744553009	Hypericum perfoliatum	SPECIES		
Hippocrepis scorpioides	Tracheophyta	264	12.88121546	2.08585218	Hippocrepis scorpioides	SPECIES		
Trapeliopsis wallrothii	Ascomycota	264	9.529115383	3.112825912	Trapeliopsis wallrothii	SPECIES		
Carex frigida	Tracheophyta	265	5.706401758	3.201503207	Carex frigida	SPECIES		
Rubia tinctorum	Tracheophyta	265	13.2091781	2.994677219	Rubia tinctorum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rubiatinctorum
Koliella spiralis	Chlorophyta	265	8.942287897	0.837303016	Koliella spiralis	SPECIES		
Cyphelium pinicola	Ascomycota	265	-0.288275964	2.090175816	Cyphelium pinicola	SPECIES		
Micarea xanthonica	Ascomycota	265	7.955984557	1.151969106	Micarea xanthonica	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/micareaxanthonica
Aristolochia rotunda	Tracheophyta	265	13.27613542	2.091021297	Aristolochia rotunda	SPECIES		
Eryngium corniculatum	Tracheophyta	265	15.43438604	1.489875419	Eryngium corniculatum	SPECIES		
Paraceterach marantae	Tracheophyta	265	13.08463323	2.356953197	Paraceterach marantae	SPECIES		
Paliurus spina-christi	Tracheophyta	265	12.95738567	2.418510942	Paliurus spina-christi	SPECIES		
Chaerophyllum villarsii	Tracheophyta	265	5.373896675	2.410611448	Chaerophyllum villarsii	SPECIES		
Cephalozia loitlesbergeri	Marchantiophyta	265	5.016270668	2.887116059	Cephalozia loitlesbergeri	SPECIES		
Veronica alpina subsp. pumila	Tracheophyta	265	0.5361668	2.175994268	Veronica alpina	SUBSPECIES	pumila	
Morus nigra	Tracheophyta	266	11.73358474	3.277631568	Morus nigra	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/morusnigra
Physcia biziana	Ascomycota	266	13.30643803	3.769504203	Physcia biziana	SPECIES		
Scapania obcordata	Marchantiophyta	266	-1.810984128	4.024959823	Scapania obcordata	SPECIES		
Leptobarbula berica	Bryophyta	266	10.30742684	1.357634867	Leptobarbula berica	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/leptobarbulaberica
Taraxacum decipiens	Tracheophyta	266	7.247745658	0.509488577	Taraxacum decipiens	SPECIES		
Teucrium pyrenaicum	Tracheophyta	266	10.63260117	1.895232817	Teucrium pyrenaicum	SPECIES		
Galium verticillatum	Tracheophyta	266	13.1746458	2.063412946	Galium verticillatum	SPECIES		
Cephaloziella massalongii	Marchantiophyta	266	7.087069736	2.783741694	Cephaloziella massalongii	SPECIES		
Amaranthus graecizans subsp. silvestris	Tracheophyta	266	12.32358391	2.238951104	Amaranthus graecizans subsp. silvestris	SUBSPECIES		
Betula humilis	Tracheophyta	267	6.071177328	1.157435223	Betula humilis	SPECIES		
Linaria viscosa	Tracheophyta	267	15.28261827	1.596449758	Linaria viscosa	SPECIES		
Mycoporum lacteum	Ascomycota	267	8.40286949	1.394234067	Mycoporum lacteum	SPECIES		
Scopolia carniolica	Tracheophyta	267	6.081175805	1.872376401	Scopolia carniolica	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/scopoliacarniolica
Tolpis staticifolia	Tracheophyta	267	5.864805536	2.518284499	Tolpis staticifolia	SPECIES		
Seligeria acutifolia	Bryophyta	267	8.984673467	2.183618756	Seligeria acutifolia	SPECIES		
Hymenoscyphus imberbis	Ascomycota	267	8.224493516	1.550820136	Hymenoscyphus imberbis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hymenoscyphusimberbis
Rhodomela lycopodioides	Rhodophyta	267	4.805470422	4.349326971	Rhodomela lycopodioides	SPECIES		
Hypocreopsis lichenoides	Ascomycota	267	7.375666722	1.00838843	Hypocreopsis lichenoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/hypocreopsislichenoides
Conopodium majus subsp. marizianum	Tracheophyta	267	12.83658233	2.689436833	Conopodium majus	SUBSPECIES	marizianum	
Atriplex rosea	Tracheophyta	268	13.1043914	2.709000633	Atriplex rosea	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/atriplexrosea
Erysimum incanum	Tracheophyta	268	12.98580552	1.796490702	Erysimum incanum	SPECIES		
Genista polyanthos	Tracheophyta	268	15.95229931	1.038243223	Genista polyanthos	SPECIES		
Koeleria crassipes	Tracheophyta	268	12.26220255	2.124280515	Koeleria crassipes	SPECIES		
Peziza arvernensis	Ascomycota	268	8.525784792	1.674695978	Peziza arvernensis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/pezizaarvernensis
Scorzonera papposa	Tracheophyta	268	19.3639294	1.527467837	Scorzonera papposa	SPECIES		
Fissidens rivularis	Bryophyta	268	9.474453695	0.873044282	Fissidens rivularis	SPECIES		
Moerckia flotoviana	Marchantiophyta	268	7.900725659	1.962666759	Moerckia flotoviana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/moerckiahibernica
Anthriscus lamprocarpa	Tracheophyta	268	19.20066754	2.29651954	Anthriscus lamprocarpa	SPECIES		
Meiodiscus spetsbergensis	Rhodophyta	268	6.073015804	2.292077409	Meiodiscus spetsbergensis	SPECIES		
Candelariella flavovirella	Ascomycota	268	9.105551095	0.963705395	Candelariella flavovirella	SPECIES		
Escallonia rubra var. macrantha	Tracheophyta	268	8.840174498	1.348602503	Escallonia rubra	VARIETY	macrantha	
Anthriscus nitida	Tracheophyta	269	6.379853113	2.227691101	Anthriscus nitida	SPECIES		
Bangia atropurpurea	Rhodophyta	269	8.107830296	3.544297945	Bangia atropurpurea	SPECIES		
Lachnum tenuissimum	Ascomycota	269	8.549783429	1.035986642	Lachnum tenuissimum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/lachnumtenuissimum
Sphondylothamnion multifidum	Rhodophyta	269	9.453544101	0.940508676	Sphondylothamnion multifidum	SPECIES		
Aster subulatus	Tracheophyta	270	18.79695931	5.608957255	Aster subulatus	SPECIES		
Andreaea nivalis	Bryophyta	270	3.352612393	3.315653911	Andreaea nivalis	SPECIES		
Daldinia loculata	Ascomycota	270	4.375178242	3.27237567	Daldinia loculata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/daldinialoculata
Filago fuscescens	Tracheophyta	270	16.20521238	1.272895396	Filago fuscescens	SPECIES		
Cephalaria gigantea	Tracheophyta	270	7.003673341	1.552091872	Cephalaria gigantea	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cephalariagigantea
Cotoneaster franchetii	Tracheophyta	270	9.926949027	1.498095705	Cotoneaster franchetii	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cotoneasterfranchetii
Cyrtidula hippocastani	Ascomycota	270	7.507458334	1.888010481	Cyrtidula hippocastani	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cyrtidulahippocastani
Taraxacum stenoglossum	Tracheophyta	270	6.468116977	1.132601938	Taraxacum stenoglossum	SPECIES		
Thelotrema macrosporum	Ascomycota	270	7.211869285	0.69279928	Thelotrema macrosporum	SPECIES		
Corynephorus divaricatus	Tracheophyta	270	16.10198529	2.82976887	Corynephorus divaricatus	SPECIES		
Betula pubescens var. glabrata	Tracheophyta	270	6.562246223	2.068173511	Betula pubescens	VARIETY	glabrata	
Kickxia lanigera	Tracheophyta	271	15.95646573	1.704294634	Kickxia lanigera	SPECIES		
Bryum creberrimum	Bryophyta	271	3.978593664	3.57558075	Bryum creberrimum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/bryumcreberrimum
Lecidea confluens	Ascomycota	271	3.520698735	4.291826981	Lecidea confluens	SPECIES		
Anacamptis collina	Tracheophyta	271	16.78881944	1.402689872	Anacamptis collina	SPECIES		
Arnica angustifolia	Tracheophyta	271	-4.912005564	4.672568485	Arnica angustifolia	SPECIES		
Fritillaria persica	Tracheophyta	271	18.33706837	2.914546876	Fritillaria persica	SPECIES		
Grateloupia turuturu	Rhodophyta	271	9.634908339	0.390628572	Grateloupia turuturu	SPECIES		
Scapania brevicaulis	Marchantiophyta	271	3.447519786	2.59597516	Scapania brevicaulis	SPECIES		
Rosa pseudoscabriuscula	Tracheophyta	271	8.182529333	1.422975292	Rosa pseudoscabriuscula	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rosapseudoscabriuscula
Syringa josikaea	Tracheophyta	272	4.457925447	2.606652908	Syringa josikaea	SPECIES		
Bifora testiculata	Tracheophyta	272	14.68700975	2.705732455	Bifora testiculata	SPECIES		
Jasione sessiliflora	Tracheophyta	272	12.0337215	2.048396335	Jasione sessiliflora	SPECIES		
Tamarix senegalensis	Tracheophyta	272	19.74736023	0.873690212	Tamarix senegalensis	SPECIES		
Alchemilla samuelssonii	Tracheophyta	272	5.78050777	1.084880316	Alchemilla samuelssonii	SPECIES		
Scapania gymnostomophila	Marchantiophyta	272	0.23326896	4.535670469	Scapania gymnostomophila	SPECIES		
Derbesia marina	Chlorophyta	273	7.466711412	2.297975181	Derbesia marina	SPECIES		
Juncus decipiens	Tracheophyta	273	7.418761374	0.525956824	Juncus decipiens	SPECIES		
Onopordum nervosum	Tracheophyta	273	14.19649516	2.01150185	Onopordum nervosum	SPECIES		
Geoglossum cookeianum	Ascomycota	273	6.731443969	1.522012358	Geoglossum cookeianum	SPECIES		
Chaetomorpha ligustica	Chlorophyta	273	8.525259129	2.828276999	Chaetomorpha ligustica	SPECIES		
Zilla spinosa	Tracheophyta	274	20.05219218	0.85079048	Zilla spinosa	SPECIES		
Lathyrus pulcher	Tracheophyta	274	14.69575444	1.960520035	Lathyrus pulcher	SPECIES		
Cladophora albida	Chlorophyta	274	8.175853079	2.974779366	Cladophora albida	SPECIES		
Macentina stigonemoides	Ascomycota	274	9.338885808	1.1555327	Macentina stigonemoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/psoroglaenastigonemoides
Mycomicrothelia confusa	Ascomycota	274	7.295316657	1.531868678	Mycomicrothelia confusa	SPECIES		
