acceptedname	phylum	occurences	sti	sd	speciesname	taxonrank	infraspecificepithet	taxon_uri
Homalothecium lutescens	Bryophyta	9705	7.996964417	2.55036226	Homalothecium lutescens	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/homalotheciumlutescens
Populus canadensis	Tracheophyta	9716	9.948830484	2.696924172	Populus canadensis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/populusxcanadensis
Fragaria viridis	Tracheophyta	9724	8.060780096	2.358520959	Fragaria viridis	SPECIES		
Rhizocarpon reductum	Ascomycota	9746	7.317299788	2.617792635	Rhizocarpon reductum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rhizocarponreductum
Pogonatum aloides	Bryophyta	9747	7.992773724	2.207589874	Pogonatum aloides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/pogonatumaloides
Linaria repens	Tracheophyta	9779	8.375849024	2.892946898	Linaria repens	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/linariarepens
Dittrichia viscosa	Tracheophyta	9828	15.02272629	2.530702466	Dittrichia viscosa	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/dittrichiaviscosa
Salix glauca	Tracheophyta	9847	1.344687896	2.660834984	Salix glauca	SPECIES		
Sphagnum angustifolium	Bryophyta	9866	4.65694522	3.272980487	Sphagnum angustifolium	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumangustifolium
Cladonia rangiformis	Ascomycota	9876	8.969488552	3.908803372	Cladonia rangiformis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cladoniarangiformis
Sparganium angustifolium	Tracheophyta	9884	4.401277332	3.551177092	Sparganium angustifolium	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sparganiumangustifolium
Rhizocarpon geographicum	Ascomycota	9903	4.699865201	5.945580849	Rhizocarpon geographicum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rhizocarpongeographicum
Didymodon rigidulus	Bryophyta	9927	7.976701899	3.43190539	Didymodon rigidulus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/didymodonrigidulus
Nymphoides peltata	Tracheophyta	9936	8.841996596	1.730995262	Nymphoides peltata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/nymphoidespeltata
Carex brunnescens	Tracheophyta	9946	2.190791086	2.789871364	Carex brunnescens	SPECIES		
Myrrhis odorata	Tracheophyta	9960	6.929934897	2.24452703	Myrrhis odorata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/myrrhisodorata
Anchusa officinalis	Tracheophyta	9968	8.010928962	2.574615954	Anchusa officinalis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/anchusaofficinalis
Anagallis tenella	Tracheophyta	10026	10.43464418	2.714129133	Anagallis tenella	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/anagallistenella
Cistus monspeliensis	Tracheophyta	10030	15.10305463	2.036723833	Cistus monspeliensis	SPECIES		
Potamogeton trichoides	Tracheophyta	10036	9.825911803	2.452639709	Potamogeton trichoides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/potamogetontrichoides
Rubus nessensis	Tracheophyta	10039	7.131015056	1.898133862	Rubus nessensis	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/rubusnessensis
Veronica polita	Tracheophyta	10102	10.07941977	3.104412655	Veronica polita	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/veronicapolita
Orthotrichum anomalum	Bryophyta	10135	7.827564744	2.774351547	Orthotrichum anomalum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/orthotrichumanomalum
Sedum anglicum	Tracheophyta	10143	8.675871456	2.600632127	Sedum anglicum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/sedumanglicum
Polystichum aculeatum	Tracheophyta	10148	8.52542684	2.316011756	Polystichum aculeatum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/polystichumaculeatum
Didymodon fallax	Bryophyta	10159	8.068808408	4.03680374	Didymodon fallax	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/didymodonfallax
Candelariella aurella	Ascomycota	10194	6.977015977	5.496700388	Candelariella aurella	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/candelariellaaurella
Carex montana	Tracheophyta	10215	7.747522323	1.971712126	Carex montana	SPECIES		
Berteroa incana	Tracheophyta	10215	7.382903835	2.573883229	Berteroa incana	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/berteroaincana
Cardamine bulbifera	Tracheophyta	10242	7.103849058	2.393469193	Cardamine bulbifera	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cardaminebulbifera
Tortula truncata	Bryophyta	10255	7.882865035	2.084312438	Tortula truncata	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/tortulatruncata
Chenopodium ficifolium	Tracheophyta	10260	8.215785801	1.659936067	Chenopodium ficifolium	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/chenopodiumficifolium
Equisetum hyemale	Tracheophyta	10272	5.365606371	3.872920002	Equisetum hyemale	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/equisetumhyemalexmoorei
Lepidium didymum	Tracheophyta	10314	10.81450805	3.15824608	Lepidium didymum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/coronopusdidymus
Plagiothecium succulentum	Bryophyta	10343	6.810487086	2.7887962	Plagiothecium succulentum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/plagiotheciumnemorale
Vicia lathyroides	Tracheophyta	10356	9.753510996	2.803544473	Vicia lathyroides	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/vicialathyroides
Carduus nutans	Tracheophyta	10367	9.54488201	2.570488896	Carduus nutans	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/carduusnutans
Cirriphyllum piliferum	Bryophyta	10367	6.050558945	3.148144821	Cirriphyllum piliferum	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/cirriphyllumpiliferum
Saxifraga oppositifolia	Tracheophyta	10387	1.628593882	4.924190639	Saxifraga oppositifolia	SPECIES		
Silaum silaus	Tracheophyta	10413	9.381065766	1.338761174	Silaum silaus	SPECIES		http://ndff-ecogrid.nl/taxonomy/taxa/silaumsilaus
Saxifraga stellaris	Tracheophyta	10432	2.929760811	3.532099621	Saxifraga stellaris	SPECIES		
